question,category
What is the fee structure for B.Tech?,fees structure
Tell me about the tuition fees for MBA.,fees structure
How much is the M.Tech course?,fees structure
What were the placement stats last year?,previous year college status
How many companies came in 2024?,previous year college status
How many students are currently enrolled?,number of students
What is the student strength this year?,number of students
What events are coming up?,current events
When is the next tech fest?,current events
What engineering branches are available?,branches available
What departments do you have?,branches available
What facilities does the college offer?,facilities
Do you have hostels and a gym?,facilities
What courses do you offer?,courses
List all academic programs.,courses
How are the placements?,placement details
Whatâ€™s the highest package offered?,placement details
How to get admission into B.Tech?,admission process
What is the admission procedure for Ph.D.?,admission process
Are scholarships available?,scholarships
Tell me about financial aid.,scholarships
Describe the hostel life.,hostel life
What is the hostel food like?,hostel life
How many books are in the library?,library info
What digital libraries can I access?,library info
How qualified are the faculty members?,faculty
Do most professors have PhDs?,faculty
